mass, radius, density
1.2072961395650e+33 1.0204481002923e+12 1.9617240076240e+00
1.2108455423476e+33 1.0205847856347e+12 2.0016836295081e+00
1.2145873284039e+33 1.0207225522386e+12 2.0405064106739e+00
1.2181351991721e+33 1.0208576969448e+12 2.0802719196730e+00
1.2218733039810e+33 1.0209900236938e+12 2.1228527669282e+00
1.2254260072666e+33 1.0211198928580e+12 2.1636993105667e+00
1.2291733746205e+33 1.0212475326094e+12 2.2000136776027e+00
1.2327287410205e+33 1.0213732088200e+12 2.2342646732528e+00
1.2365131049022e+33 1.0214981326907e+12 2.2466543874509e+00
1.2400957774790e+33 1.0216232482573e+12 2.2432373908439e+00
1.2438470779005e+33 1.0217474111363e+12 2.2594520446652e+00
1.2473900647909e+33 1.0218693806169e+12 2.3001850003714e+00
1.2511290980161e+33 1.0219886987655e+12 2.3494413034239e+00
1.2546796887595e+33 1.0221057889706e+12 2.3949687817439e+00
1.2584386952855e+33 1.0222211738222e+12 2.4292493780297e+00
1.2621995493796e+33 1.0223383935821e+12 2.4558352033127e+00
1.2657592170751e+33 1.0224512873642e+12 2.4815894469710e+00
1.2695158145954e+33 1.0225628041694e+12 2.5112943213711e+00
1.2732667660196e+33 1.0226757622343e+12 2.5465664473890e+00
1.2768173705431e+33 1.0227840008386e+12 2.5870580128512e+00
1.2805613452679e+33 1.0228902730549e+12 2.6331648958765e+00
1.2843055393769e+33 1.0229973977144e+12 2.6831590381907e+00
1.2878544583901e+33 1.0230998043319e+12 2.7334760047820e+00
1.2915998954755e+33 1.0232002784159e+12 2.7844086141225e+00
1.2953461905713e+33 1.0233016048447e+12 2.8353933174074e+00
1.2988959765941e+33 1.0233985725610e+12 2.8838128557309e+00
1.3026456444978e+33 1.0234939344311e+12 2.9306188806388e+00
1.3064001299934e+33 1.0235904760310e+12 2.9739396812853e+00
1.3101608990443e+33 1.0236858712126e+12 3.0091782979683e+00
1.3139314715134e+33 1.0237805467300e+12 3.0310721725879e+00
1.3175181726035e+33 1.0238726345800e+12 3.0343190624279e+00
1.3213234811524e+33 1.0239654788533e+12 3.0096818355778e+00
1.3251636090020e+33 1.0240629801458e+12 2.9421112852438e+00
